Time Period,Region,State,Plant ID,Plant Name,Technology Type,Contract Name,Scheduled MW,Actual MW
2024-01-01,Southern,Gujarat,Plant-001,Plant-003,Wind,Contract-C,224,327
2024-01-02,Eastern,Delhi,Plant-005,Plant-003,Gas,Contract-B,416,544
2024-01-03,Southern,Maharashtra,Plant-003,Plant-002,Solar,Contract-C,459,463
2024-01-04,Eastern,Tamil Nadu,Plant-003,Plant-001,Gas,Contract-A,244,337
2024-01-05,Southern,Maharashtra,Plant-003,Plant-002,Hydro,Contract-B,402,116
2024-01-06,Western,Gujarat,Plant-002,Plant-005,Storage,Contract-A,107,554
2024-01-07,Eastern,Gujarat,Plant-003,Plant-002,Gas,Contract-C,145,240
2024-01-08,Western,Tamil Nadu,Plant-003,Plant-004,Wind,Contract-B,437,287
2024-01-09,Western,Gujarat,Plant-002,Plant-005,Coal,Contract-C,139,567
2024-01-10,Eastern,Delhi,Plant-005,Plant-002,Coal,Contract-C,245,523
2024-01-11,Eastern,Delhi,Plant-002,Plant-003,Coal,Contract-B,491,285
2024-01-12,Eastern,Tamil Nadu,Plant-003,Plant-005,Hydro,,251,423
2024-01-13,Eastern,Gujarat,Plant-005,Plant-003,Gas,Contract-A,577,505
2024-01-14,Eastern,Gujarat,Plant-002,Plant-005,Solar,Contract-A,457,121
2024-01-15,Western,Delhi,Plant-002,Plant-001,Coal,Contract-C,247,503
2024-01-16,Southern,Maharashtra,Plant-004,Plant-001,Coal,Contract-C,578,204
2024-01-17,Eastern,Maharashtra,Plant-002,Plant-004,Storage,Contract-C,568,434
2024-01-18,Eastern,Delhi,Plant-001,Plant-003,Storage,Contract-A,376,92
2024-01-19,Eastern,Delhi,Plant-005,Plant-001,Solar,Contract-B,236,429
2024-01-20,Southern,West Bengal,Plant-004,Plant-004,Hydro,Contract-C,371,261
2024-01-21,Western,West Bengal,Plant-004,Plant-003,Storage,Contract-C,514,434
2024-01-22,Southern,Maharashtra,Plant-003,Plant-004,Solar,Contract-C,242,565
2024-01-23,Northern,Maharashtra,Plant-001,Plant-004,Wind,,487,555
2024-01-24,Western,Tamil Nadu,Plant-003,Plant-003,Wind,Contract-A,372,502
2024-01-25,Northern,Tamil Nadu,Plant-002,Plant-001,Solar,,384,176
2024-01-26,Southern,Delhi,Plant-003,Plant-004,Wind,Contract-A,589,217
2024-01-27,Northern,Delhi,Plant-004,Plant-002,Storage,Contract-B,128,188
2024-01-28,Eastern,Delhi,Plant-004,Plant-001,Coal,Contract-A,150,497
2024-01-29,Eastern,Maharashtra,Plant-005,Plant-003,Wind,Contract-B,413,284
2024-01-30,Eastern,Delhi,Plant-004,Plant-003,Coal,Contract-C,172,435
2024-01-31,Northern,Gujarat,Plant-003,Plant-004,Hydro,Contract-B,513,364
2024-02-01,Northern,Gujarat,Plant-002,Plant-005,Wind,Contract-A,286,228
2024-02-02,Northern,Gujarat,Plant-002,Plant-005,Solar,,505,445
2024-02-03,Southern,West Bengal,Plant-002,Plant-002,Hydro,Contract-A,200,463
2024-02-04,Eastern,West Bengal,Plant-003,Plant-004,Coal,Contract-A,435,550
2024-02-05,Eastern,West Bengal,Plant-002,Plant-002,Solar,Contract-C,168,176
2024-02-06,Eastern,West Bengal,Plant-004,Plant-002,Solar,Contract-A,215,324
2024-02-07,Western,Maharashtra,Plant-004,Plant-003,Solar,Contract-A,443,110
2024-02-08,Northern,Tamil Nadu,Plant-004,Plant-001,Coal,Contract-A,410,365
2024-02-09,Western,Maharashtra,Plant-001,Plant-001,Gas,,349,199
2024-02-10,Southern,Tamil Nadu,Plant-005,Plant-005,Gas,Contract-C,152,469
2024-02-11,Eastern,Tamil Nadu,Plant-001,Plant-004,Solar,,502,207
2024-02-12,Eastern,Tamil Nadu,Plant-002,Plant-003,Storage,,564,300
2024-02-13,Southern,Maharashtra,Plant-001,Plant-003,Coal,Contract-C,409,325
2024-02-14,Eastern,Maharashtra,Plant-002,Plant-005,Wind,Contract-A,177,434
2024-02-15,Western,Maharashtra,Plant-001,Plant-003,Wind,Contract-A,505,430
2024-02-16,Southern,Maharashtra,Plant-005,Plant-002,Wind,Contract-B,356,520
2024-02-17,Northern,Maharashtra,Plant-003,Plant-005,Storage,Contract-C,537,476
2024-02-18,Southern,West Bengal,Plant-003,Plant-005,Coal,Contract-C,218,487
2024-02-19,Southern,Tamil Nadu,Plant-005,Plant-002,Coal,Contract-A,367,519
2024-02-20,Western,Maharashtra,Plant-004,Plant-003,Solar,,391,85
2024-02-21,Southern,Delhi,Plant-001,Plant-001,Solar,Contract-B,224,245
2024-02-22,Northern,Gujarat,Plant-002,Plant-005,Gas,Contract-C,198,459
2024-02-23,Southern,Gujarat,Plant-004,Plant-003,Gas,Contract-B,104,488
2024-02-24,Eastern,West Bengal,Plant-004,Plant-001,Coal,,324,517
2024-02-25,Northern,Maharashtra,Plant-005,Plant-003,Solar,,247,147
2024-02-26,Eastern,Delhi,Plant-005,Plant-002,Gas,,555,450
2024-02-27,Northern,Delhi,Plant-001,Plant-003,Storage,Contract-B,224,109
2024-02-28,Northern,Gujarat,Plant-001,Plant-001,Solar,Contract-B,102,127
2024-02-29,Southern,Tamil Nadu,Plant-002,Plant-001,Gas,Contract-A,581,248
2024-03-01,Western,Tamil Nadu,Plant-005,Plant-001,Coal,Contract-A,240,271
2024-03-02,Western,West Bengal,Plant-002,Plant-005,Hydro,Contract-A,517,352
2024-03-03,Eastern,Delhi,Plant-005,Plant-001,Coal,Contract-C,464,116
2024-03-04,Western,Tamil Nadu,Plant-004,Plant-003,Coal,Contract-B,210,350
2024-03-05,Southern,West Bengal,Plant-004,Plant-003,Gas,Contract-B,296,170
2024-03-06,Northern,Delhi,Plant-003,Plant-002,Gas,Contract-B,498,129
2024-03-07,Northern,Maharashtra,Plant-002,Plant-004,Solar,Contract-B,226,288
2024-03-08,Northern,Maharashtra,Plant-003,Plant-002,Hydro,Contract-B,118,274
2024-03-09,Northern,Maharashtra,Plant-001,Plant-003,Coal,Contract-C,521,165
2024-03-10,Eastern,Delhi,Plant-002,Plant-003,Hydro,Contract-C,300,291
2024-03-11,Southern,Delhi,Plant-005,Plant-002,Hydro,,150,97
2024-03-12,Western,Maharashtra,Plant-005,Plant-003,Coal,Contract-C,522,106
2024-03-13,Southern,West Bengal,Plant-005,Plant-002,Gas,Contract-A,308,567
2024-03-14,Western,Tamil Nadu,Plant-001,Plant-002,Coal,Contract-C,180,224
2024-03-15,Western,West Bengal,Plant-003,Plant-001,Coal,Contract-B,249,164
2024-03-16,Eastern,Gujarat,Plant-005,Plant-002,Storage,,410,546
2024-03-17,Southern,Gujarat,Plant-002,Plant-004,Hydro,,285,457
2024-03-18,Eastern,Tamil Nadu,Plant-003,Plant-002,Wind,Contract-C,414,539
2024-03-19,Southern,Gujarat,Plant-003,Plant-002,Hydro,Contract-B,597,355
2024-03-20,Southern,Tamil Nadu,Plant-003,Plant-003,Solar,,315,176
2024-03-21,Western,West Bengal,Plant-004,Plant-005,Solar,Contract-C,327,191
2024-03-22,Southern,Gujarat,Plant-003,Plant-001,Coal,,100,310
2024-03-23,Northern,Maharashtra,Plant-002,Plant-003,Solar,,153,90
2024-03-24,Western,Delhi,Plant-004,Plant-001,Wind,Contract-C,174,131
2024-03-25,Eastern,Delhi,Plant-002,Plant-004,Hydro,Contract-C,577,154
2024-03-26,Northern,Delhi,Plant-003,Plant-001,Gas,Contract-A,435,356
2024-03-27,Southern,Delhi,Plant-004,Plant-002,Solar,Contract-B,433,245
2024-03-28,Western,West Bengal,Plant-002,Plant-002,Storage,Contract-B,462,87
2024-03-29,Western,Maharashtra,Plant-002,Plant-001,Storage,,187,214
2024-03-30,Southern,Tamil Nadu,Plant-005,Plant-005,Hydro,Contract-B,224,166
2024-03-31,Western,Tamil Nadu,Plant-001,Plant-001,Hydro,Contract-B,248,286
2024-04-01,Southern,Tamil Nadu,Plant-004,Plant-005,Coal,Contract-C,450,368
2024-04-02,Eastern,Maharashtra,Plant-003,Plant-003,Solar,,130,404
2024-04-03,Western,Tamil Nadu,Plant-003,Plant-001,Hydro,Contract-A,141,173
2024-04-04,Eastern,Maharashtra,Plant-003,Plant-002,Wind,Contract-A,546,447
2024-04-05,Eastern,Delhi,Plant-005,Plant-005,Gas,,194,434
2024-04-06,Southern,Delhi,Plant-004,Plant-005,Solar,Contract-A,571,435
2024-04-07,Southern,Maharashtra,Plant-002,Plant-004,Solar,Contract-A,354,184
2024-04-08,Eastern,Delhi,Plant-004,Plant-001,Hydro,,499,466
2024-04-09,Western,Delhi,Plant-003,Plant-003,Wind,Contract-A,279,407
