start_time,day,end_time,month,pred_f05,pred_f10,pred_f25,pred_f50,pred_f75,pred_f90,pred_f95,timeblock,year
02-04-2025 18:30,3,02-04-2025 18:45,4,4758.24,5594.14,6301.45,6494.35,6622.95,6880.15,7265.96,1,2025
02-04-2025 18:45,3,02-04-2025 19:00,4,4188.02,4554.47,5025.62,5182.67,5235.02,5444.42,5758.52,2,2025
02-04-2025 19:00,3,02-04-2025 19:15,4,4210.53,4455.32,4798.04,4895.96,4944.92,5238.68,5532.43,3,2025
02-04-2025 19:15,3,02-04-2025 19:30,4,4514.58,4663.42,4861.86,4961.08,5010.69,5209.13,5457.19,4,2025
02-04-2025 19:30,3,02-04-2025 19:45,4,4590.5,4790.08,4939.77,5039.57,5089.46,5289.05,5538.53,5,2025
02-04-2025 19:45,3,02-04-2025 20:00,4,4667.39,4870.32,5022.52,5073.25,5123.98,5377.64,5682.04,6,2025
02-04-2025 20:00,3,02-04-2025 20:15,4,4659.63,4966.86,5069.27,5171.67,5222.88,5478.9,5786.13,7,2025
02-04-2025 20:15,3,02-04-2025 20:30,4,4827.32,4930.03,5032.74,5084.1,5238.16,5494.93,5957.12,8,2025
02-04-2025 20:30,3,02-04-2025 20:45,4,4444.49,4862.79,5228.81,5333.39,5385.67,5647.11,5803.98,9,2025
02-04-2025 20:45,3,02-04-2025 21:00,4,4617.89,4929.21,5084.87,5188.64,5292.41,5448.07,5655.62,10,2025
02-04-2025 21:00,3,02-04-2025 21:15,4,4680.22,4988.81,5091.67,5143.1,5245.96,5400.26,5605.98,11,2025
02-04-2025 21:15,3,02-04-2025 21:30,4,4481.96,4830.55,5029.75,5079.55,5129.35,5228.95,5328.55,12,2025
02-04-2025 21:30,3,02-04-2025 21:45,4,4524.35,4770.24,4917.77,4966.95,5065.3,5163.66,5262.01,13,2025
02-04-2025 21:45,3,02-04-2025 22:00,4,4620.61,4769.66,4918.72,4968.4,5018.08,5167.14,5266.5,14,2025
02-04-2025 22:00,3,02-04-2025 22:15,4,4916.4,5019.91,5123.41,5175.16,5278.66,5433.92,5537.42,15,2025
02-04-2025 22:15,3,02-04-2025 22:30,4,5547.37,5662.94,5778.51,5836.3,5951.87,6125.22,6183.01,16,2025
02-04-2025 22:30,3,02-04-2025 22:45,4,6122.48,6250.03,6377.58,6441.36,6568.91,6760.23,6887.79,17,2025
02-04-2025 22:45,3,02-04-2025 23:00,4,6207.38,6338.06,6468.74,6534.08,6730.1,6926.12,7056.81,18,2025
02-04-2025 23:00,3,02-04-2025 23:15,4,5926.6,6184.28,6377.54,6506.38,6635.22,6828.48,7021.74,19,2025
02-04-2025 23:15,3,02-04-2025 23:30,4,5798.06,6120.18,6377.87,6571.14,6635.56,6893.25,7086.52,20,2025
02-04-2025 23:30,3,02-04-2025 23:45,4,5839.31,6104.73,6436.51,6635.58,6834.65,7100.07,7431.85,21,2025
02-04-2025 23:45,3,03-04-2025 00:00,4,5897.21,6318.44,6809.88,7020.49,7160.9,7511.92,7792.74,22,2025
03-04-2025 00:00,3,03-04-2025 00:15,4,6082.85,6683.62,7209.3,7434.59,7659.88,7960.27,8185.56,23,2025
03-04-2025 00:15,3,03-04-2025 00:30,4,5659.85,6577.66,7189.53,7495.47,7724.92,8030.86,8336.8,24,2025
03-04-2025 00:30,3,03-04-2025 00:45,4,7848.59,8205.34,8651.28,8829.66,9097.23,9721.55,10702.62,25,2025
03-04-2025 00:45,3,03-04-2025 01:00,4,7966.09,8328.18,8690.28,8871.32,9233.42,9957.61,10772.32,26,2025
03-04-2025 01:00,3,03-04-2025 01:15,4,7880.7,8328.47,8597.13,8865.79,9224,9940.43,10746.41,27,2025
03-04-2025 01:15,3,03-04-2025 01:30,4,7723.16,8261.99,8711.01,8980.42,9339.64,9968.27,10686.7,28,2025
03-04-2025 01:30,3,03-04-2025 01:45,4,7609.62,8027.73,8362.22,8613.09,9031.2,9700.18,10452.78,29,2025
03-04-2025 01:45,3,03-04-2025 02:00,4,6814.28,7192.85,7495.71,7722.85,7949.99,8555.7,9237.13,30,2025
03-04-2025 02:00,3,03-04-2025 02:15,4,5270.55,5621.92,5856.17,6031.86,6266.1,6793.16,7261.65,31,2025
03-04-2025 02:15,3,03-04-2025 02:30,4,4319.09,4564.5,4809.9,5006.22,5153.46,5447.95,5987.83,32,2025
03-04-2025 02:30,3,03-04-2025 02:45,4,4019.52,4350.54,4586.98,4823.43,4965.29,5201.74,5532.75,33,2025
03-04-2025 02:45,3,03-04-2025 03:00,4,3461.54,3795.18,4045.41,4253.94,4337.35,4545.88,4754.4,34,2025
03-04-2025 03:00,3,03-04-2025 03:15,4,3215.91,3405.08,3669.92,3821.25,3934.76,4048.26,4237.43,35,2025
03-04-2025 03:15,3,03-04-2025 03:30,4,2946.96,3120.31,3328.33,3501.68,3571.02,3709.7,3813.71,36,2025
03-04-2025 03:30,3,03-04-2025 03:45,4,2657.31,2813.62,3032.46,3126.25,3220.04,3313.82,3438.88,37,2025
03-04-2025 03:45,3,03-04-2025 04:00,4,2619.54,2770.08,2950.74,3010.96,3101.29,3221.73,3372.28,38,2025
